ssc_name, ssc2011
Hunter,20644
Huntingdale (Vic.),20645
Huntly,20646
Huon,20647
Huon Creek,20648
Hurstbridge,20649
Illowa,20650
Indented Head,20651
Indigo Valley,20652
Inglewood (Vic.),20653
Invergordon (Vic.),20654
Inverleigh,20655
Inverloch,20656
Invermay (Vic.),20657
Invermay Park,20658
Iona,20659
Ironbark (Vic.),20660
Irrewarra,20661
Irymple (Vic.),20662
Ivanhoe (Vic.),20663
Ivanhoe East,20664
Jacana,20665
Jack River,20666
Jackass Flat,20667
Jamieson (Vic.),20668
Jan Juc,20669
Jancourt East,20670
Jeeralang Junction,20671
Jeparit,20672
Jindivick,20673
Johanna,20674
Johnsonville,20675
Junction Village,20676
Jung,20677
Junortoun,20678
Kaarimba,20679
Kalimna,20680
Kallista,20681
Kalorama,20682
Kangaroo Flat (Vic.),20683
Kangaroo Ground,20684
Kaniva,20685
Kanyapella,20686
Kardella,20687
Katamatite,20688
Katandra West,20689
Katunga,20690
Kealba,20691
Keely,20692
Keilor,20693
Keilor Downs,20694
Keilor East,20695
Keilor Lodge,20696
Keilor North,20697
Keilor Park,20698
Kennington,20699
Kensington (Vic.),20700
Kerang,20701
Kergunyah,20702
Kew (Vic.),20703
Kew East,20704
Keysborough,20705
Kialla,20706
Kialla East,20707
Kialla West,20708
Kiewa,20709
Kilcunda,20710
Kilmore,20711
Kilmore East,20712
Kilsyth,20713
Kilsyth South,20714
King Valley,20715
Kinglake,20716
Kinglake Central,20717
Kinglake West,20718
Kings Park (Vic.),20719
Kingsbury,20720
Kingston (Vic.),20721
Kingsville,20722
Kirkstall,20723
Kirwans Bridge,20724
Knowsley,20725
Knoxfield,20726
Kolora,20727
Konongwootong,20728
Koo Wee Rup,20729
Koondrook,20730
Koonoomoo,20731
Koonwarra,20732
Koorlong,20733
Kooyong,20734
Korobeit,20735
Koroit,20736
Korong Vale,20737
Korumburra,20738
Korweinguboora,20739
Kotupna,20740
Koyuga,20741
Krowera,20742
